Date,curve,equal
2008-01-04,0.024303809713616772,0.021146505292621395
2008-01-11,0.00888016554780866,0.009020248464082364
2008-01-18,-0.021331702370023478,-0.017020895848943368
2008-01-25,0.0040199890591400235,0.0038625752261271795
2008-02-01,2.2578378824140156e-4,1.4345667929581418e-4
2008-02-08,0.05577988504246077,0.05033767278254345
2008-02-15,-0.0038176867437420305,8.854895631782989e-4
2008-02-22,0.04247200363507058,0.036782995852626815
2008-02-29,0.021202589141104636,0.018771486802221016
2008-03-07,-0.0022944840456929206,-0.014786948937410407
2008-03-14,0.017685629447664983,0.013662991207788203
2008-03-28,0.041415058858534574,0.038876327448084474
2008-04-04,0.010580930398165751,0.006345975038454979
2008-04-11,0.007602660702732982,0.006851796481327485
2008-04-18,0.026241146725578104,0.016639794958572124
2008-04-25,-0.0034350142446961723,-0.010160996086562263
2008-05-02,-0.02315328578944135,-0.022552224344180027
2008-05-09,0.03490914661769409,0.03196533384015719
2008-05-16,-0.0027529351380897464,-0.00362556302880665
2008-05-23,0.02298532604604982,0.01477544918901788
2008-05-30,-0.01823795928121495,-0.020542827431450014
2008-06-06,0.056509693571793536,0.05303912011567083
2008-06-13,0.006505873556276633,0.02012601645328861
2008-06-20,-0.0028394531009464465,-0.006154176414654364
2008-06-27,0.03071052927497504,0.032010030805981055
2008-07-04,0.011247117580779422,0.0018707557951170573
2008-07-11,-0.023177888025111743,-0.02175208437127768
2008-07-18,-0.06498813970831238,-0.055321750093130395
2008-07-25,-0.04248550401526058,-0.03526371818425866
2008-08-01,-0.006415201978950987,-0.012611472624068046
2008-08-08,-0.06949242873424025,-0.06947483370924844
2008-08-15,-0.0142457534371224,-0.004509634242267732
2008-08-22,0.024798914468968185,0.02940494941887678
2008-08-29,-0.0038675301951493395,-0.013042223776735279
2008-09-05,-0.051087821390491804,-0.049940384931894566
2008-09-12,-0.02071046239848215,-0.022294057465774578
2008-09-19,0.027170924324314484,0.020925290318141068
2008-09-26,-0.010360480951762842,-0.016680364765117472
2008-10-03,-0.08220067660016912,-0.07606796961996132
2008-10-10,-0.10116390134812338,-0.09261481901273323
2008-10-17,-0.0691894927435664,-0.05436032315856007
2008-10-24,-0.12709872802538802,-0.12376466489355288
2008-10-31,0.039329962839275395,0.03680722271203614
2008-11-07,-0.05198603449064376,-0.051939459426259146
2008-11-14,-0.04930480861490137,-0.04212793208407564
2008-11-21,-0.030158464048710993,-0.05264909638787241
2008-11-28,0.026438115620121085,0.039221289231261794
2008-12-05,-0.1471943366591797,-0.1604125769894097
2008-12-12,0.04835390684032328,0.0599076554830579
2008-12-19,-0.03262294087180628,-0.060042244286437674
2008-12-26,0.025761659172289102,0.003265245783234741
2009-01-02,0.02746662385988299,0.029187396660045037
2009-01-09,-4.71997952182335e-4,-0.015118811025709528
2009-01-16,-0.027667877026336413,-0.032644959706836674
2009-01-23,0.009951637860090522,0.03762725863449888
2009-01-30,-0.005908113207698044,-0.01834118935806915
2009-02-06,0.04580107965417996,0.03672995307376259
2009-02-13,-0.0481839957991242,-0.050231436950588626
2009-02-20,-0.014687508623176136,-0.023408279949497818
2009-02-27,0.009434779183138045,0.03718030904498355
2009-03-06,0.025507896049888793,0.019048045310484332
2009-03-13,2.6697577273760657e-4,0.004472087881626896
2009-03-20,0.05777824525478983,0.05823462326895795
2009-03-27,-0.031874653602928626,-0.04022873982323874
2009-04-03,0.05581615617730512,0.052908586902499236
2009-04-17,0.018887813884570982,0.013166487048557218
2009-04-24,0.010941986543353373,0.007074120265663522
2009-05-01,0.057164594773951,0.06354154604726467
2009-05-08,0.05203233375031062,0.0654017781937683
2009-05-15,-0.018059936675344133,-0.02048203660698962
2009-05-22,0.037581243582360965,0.02850021050770732
2009-05-29,0.04919553855899842,0.04710408865723939
2009-06-05,0.004686728399200181,-0.002598520948625782
2009-06-12,0.021602197309262324,0.013575821402986785
2009-06-19,-0.02522785374540478,-0.02546798753918314
2009-06-26,0.010923152091354759,0.0063045241184778444
2009-07-03,-0.043582185900556195,-0.042485036158466966
2009-07-10,-0.03257687804236217,-0.046261577985868774
2009-07-17,0.05456304531800147,0.05355989403768889
2009-07-24,0.020388951575015482,0.0046719865337695315
2009-07-31,0.02492133400138606,0.023564625141678536
2009-08-07,-0.011422777283588967,-0.011394130689267812
2009-08-14,-0.024673882242888488,-0.03329483423319378
2009-08-21,0.01769303308940198,5.404086146337667e-4
2009-08-28,0.0025265602223232143,0.011171249375857353
2009-09-04,-0.014745706371394926,-0.023402200087807926
2009-09-11,0.015374526755585666,0.022283001359599514
2009-09-18,0.03722538950078201,0.06400104917085019
2009-09-25,-0.021497619188470214,-0.00939732257205772
2009-10-02,0.014714961871508373,0.03084970530767217
2009-10-09,0.049585989672404275,0.04641244794750618
2009-10-16,0.04044483019267991,0.035744962312162565
2009-10-23,0.03786880361369241,0.03841888698759177
2009-10-30,-0.034403101532210045,-0.029894053770586668
2009-11-06,-0.0038912778065402437,-0.013570853179894912
2009-11-13,0.002554988025476637,0.0033707755645185355
2009-11-20,0.011992098883040784,0.010655234133647398
2009-11-27,0.012644006290076932,0.006538722661218424
2009-12-04,-0.02038730753243778,-0.024764436434779477
2009-12-11,-0.01097370517544391,-0.009680016771381528
2009-12-18,0.02667460133787566,0.027099309645077632
2010-01-08,0.016385662406966425,0.012669350835658538
2010-01-15,-0.029601659270455147,-0.04524078788566907
2010-01-22,-0.015388561296542327,-0.015937940544860307
2010-01-29,-0.05438776318069465,-0.04898499408653077
2010-02-05,-0.014532614401247337,-0.016493450358675416
